Unique Identifier,gender,role,lgbtqplus,ethnicity,Organization,Source,Publish,Write,Research,Discuss,Share,Integrate,Responsible,Ethics,Standards,Practices,Morals,Responsible_oe,Ethics_oe,Standards_oe,Practices_oe,Morals_oe
1,Male,Graduate student,No,White (Non-Hispanic/Latino),Extensive,Good,Minimal,Good,Extensive,Always,Never,Sometimes,Very useful,Somewhat useful,Extremely useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA
2,Male,Undergraduate student,No,White (Non-Hispanic/Latino),Good,Minimal,Minimal,Extensive,Extensive,Frequently,Never,Frequently,Somewhat useful,Extremely useful,Very useful,Somewhat useful,Extremely useful,NA,NA,NA,NA,NA
3,Female,Undergraduate student,No,White (Non-Hispanic/Latino),Minimal,Good,Minimal,Extensive,Extensive,Frequently,Rarely,Sometimes,Slightly useful,Extremely useful,Very useful,Very useful,Extremely useful,NA,NA,NA,NA,NA
4,Female,Undergraduate student,Prefer not to disclose,White (Non-Hispanic/Latino),Moderate,Extensive,Minimal,Good,Extensive,Frequently,Never,Frequently,Very useful,Somewhat useful,Extremely useful,Very useful,Not at all useful,NA,NA,NA,NA,heartily stretch i could however was one of what happy i politeness
5,Male,Faculty,No,Asian,Moderate,Slight,Minimal,Extensive,Extensive,Always,Never,Always,Slightly useful,Very useful,Somewhat useful,Not at all useful,Somewhat useful,NA,NA,NA,he the serenity do empty the some proved that been exclaimed verses seemed this from her mary treat a so his me found comfort happy of his is and when if,NA
6,Male,Undergraduate student,No,Black,Slight,Extensive,Minimal,Good,Moderate,Always,Never,Rarely,Somewhat useful,Somewhat useful,Extremely useful,Somewhat useful,Somewhat useful,NA,NA,NA,NA,NA
7,Female,Graduate student,Yes,Asian,Extensive,Extensive,Moderate,Minimal,Extensive,Frequently,Never,Always,Somewhat useful,Somewhat useful,Somewhat useful,Very useful,Extremely useful,NA,NA,NA,NA,NA
8,Male,Undergraduate student,No,Prefer not to specify,Moderate,Moderate,Extensive,Moderate,Extensive,Sometimes,Never,Always,Somewhat useful,Slightly useful,Very useful,Extremely useful,Not at all useful,NA,NA,NA,NA,can sure very way soon answered he that she the intimacy introduce forster your plan agitation lizzy and now bingley because
9,Male,Undergraduate student,Prefer not to disclose,White (Non-Hispanic/Latino),Good,Extensive,Slight,Extensive,Extensive,Frequently,Never,Sometimes,Slightly useful,Slightly useful,Somewhat useful,Extremely useful,Somewhat useful,NA,NA,NA,NA,NA
10,Male,Undergraduate student,Prefer not to disclose,Hispanic/Latino,Minimal,Extensive,Minimal,Good,Good,Always,Never,Sometimes,Somewhat useful,Extremely useful,Not at all useful,Somewhat useful,Extremely useful,NA,NA,both such felt is them touched all and never day the sisterly had done the the fancy purpose with loss was,NA,NA
11,Male,Undergraduate student,No,White (Non-Hispanic/Latino),Minimal,Moderate,Minimal,Good,Extensive,Sometimes,Rarely,Frequently,Somewhat useful,Somewhat useful,Very useful,Very useful,Extremely useful,NA,NA,NA,NA,NA
12,Male,Postdoc,No,Prefer not to specify,Moderate,Moderate,Moderate,Good,Extensive,Always,Never,Always,Very useful,Not at all useful,Extremely useful,Extremely useful,Very useful,NA,leave depart so eyes not the make who than honour remembered have did my her tells very thoughtfulness i of length,NA,NA,NA
13,Male,Faculty,No,White (Non-Hispanic/Latino),Minimal,Good,Good,Good,Minimal,Frequently,Never,Sometimes,Somewhat useful,Somewhat useful,Very useful,Not at all useful,Somewhat useful,NA,NA,NA,you up they over had sentence implacability preferred is worth seeing him no anything compared,NA
14,Male,Undergraduate student,Yes,White (Non-Hispanic/Latino),Extensive,Extensive,Moderate,Moderate,Minimal,Always,Never,Always,Somewhat useful,Somewhat useful,Somewhat useful,Extremely useful,Extremely useful,NA,NA,NA,NA,NA
15,Female,Graduate student,No,Asian,Moderate,Moderate,Minimal,Good,Moderate,Always,Never,Frequently,Somewhat useful,Somewhat useful,Not at all useful,Extremely useful,Not at all useful,NA,NA,you up they over had sentence implacability preferred is worth seeing him no anything compared,NA,merely must answered be now do family stayed words done physicians dear for will
16,Male,Undergraduate student,No,Hispanic/Latino,Moderate,Minimal,Minimal,Good,Extensive,Sometimes,Sometimes,Always,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Extremely useful,NA,NA,NA,NA,NA
17,Female,Undergraduate student,No,Hispanic/Latino,Moderate,Extensive,Good,Moderate,Moderate,Always,Rarely,Always,Very useful,Extremely useful,Not at all useful,Very useful,Somewhat useful,NA,NA,it he that her would had when invitation the improvement was her the ridicule as out have immediately his gardiner pain lifted darcy which for sir his place well from of injurious a elizabeth am,NA,NA
18,Female,Postdoc,No,Asian,Slight,Slight,Slight,Extensive,Good,Always,Never,Sometimes,Somewhat useful,Slightly useful,Very useful,Extremely useful,Somewhat useful,NA,NA,NA,NA,NA
19,Male,Undergraduate student,No,Asian,Minimal,Extensive,Minimal,Moderate,Extensive,Always,Never,Rarely,Extremely useful,Somewhat useful,Very useful,Very useful,Extremely useful,NA,NA,NA,NA,NA
20,Female,Undergraduate student,Prefer not to disclose,White (Non-Hispanic/Latino),Slight,Moderate,Moderate,Good,Extensive,Frequently,Sometimes,Rarely,Somewhat useful,Somewhat useful,Very useful,Slightly useful,Not at all useful,NA,NA,NA,NA,as did and i manner at both near to misfortune of with not her and only world she that in way thoughts her the little most in laugh a good me i in for joined a
21,Male,Undergraduate student,No,Hispanic/Latino,Slight,Extensive,Slight,Extensive,Minimal,Frequently,Frequently,Frequently,Slightly useful,Somewhat useful,Somewhat useful,Very useful,Very useful,NA,NA,NA,NA,NA
22,Female,Graduate student,Prefer not to disclose,Asian,Moderate,Moderate,Extensive,Good,Good,Always,Always,Sometimes,Somewhat useful,Extremely useful,Extremely useful,Extremely useful,Very useful,NA,NA,NA,NA,NA
23,Female,Faculty,No,Black,Moderate,Good,Moderate,Slight,Good,Always,Never,Frequently,Very useful,Very useful,Extremely useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA
24,Female,Undergraduate student,No,White (Non-Hispanic/Latino),Good,Extensive,Minimal,Slight,Extensive,Always,Never,Always,Very useful,Very useful,Extremely useful,Not at all useful,Very useful,NA,NA,NA,conscience lydia very it any his spite as has a his the scene afraid a be the was the by i him i how their about bear expressing most till north,NA
25,Male,Graduate student,Yes,Asian,Moderate,Moderate,Slight,Extensive,Minimal,Always,Frequently,Sometimes,Very useful,Extremely useful,Extremely useful,Very useful,Very useful,NA,NA,NA,NA,NA
26,Female,Graduate student,No,White (Non-Hispanic/Latino),Slight,Extensive,Minimal,Good,Minimal,Always,Rarely,Never,Somewhat useful,Somewhat useful,Very useful,Somewhat useful,Very useful,NA,NA,NA,NA,NA
27,Female,Faculty,No,Asian,Minimal,Moderate,Slight,Extensive,Moderate,Frequently,Always,Frequently,Somewhat useful,Extremely useful,Extremely useful,Slightly useful,Extremely useful,NA,NA,NA,NA,NA
28,Male,Undergraduate student,No,Asian,Good,Extensive,Minimal,Minimal,Good,Sometimes,Frequently,Always,Slightly useful,Not at all useful,Slightly useful,Extremely useful,Extremely useful,NA,replied in is was was deeper great the with in in intricate,NA,NA,NA
29,Female,Undergraduate student,No,Black,Moderate,Extensive,Minimal,Slight,Slight,Never,Never,Always,Somewhat useful,Somewhat useful,Not at all useful,Slightly useful,Somewhat useful,NA,NA,with he send he yet in forward herself been suppose contents in they sincerely gone their who were daughters to consent them to,NA,NA
30,Male,Undergraduate student,No,Asian,Moderate,Moderate,Minimal,Minimal,Extensive,Sometimes,Sometimes,Frequently,Extremely useful,Not at all useful,Somewhat useful,Very useful,Extremely useful,NA,place corruption 4 wife aunt's time drawing now ideas cheerful leaving i is could half life could his said account evidently only you indeed the library the of gone,NA,NA,NA
